"Positions 
All Accounts 
WMT270617C80,1,36.10,39.01,0.00,0.00,0.9136,--,33.35,37.2,111.85,-0.20,3.5754,--,--,-565.67,-14.51,Jun-17-2027,"3,335.00",Aug-20-2026,--,--,0.00,31.765,--,-0.0041
PLTR270617P200,1,51.10,58.93,0.00,0.00,-0.4949,--,50.65,51.05,172.01,10.32,22.5554,--,--,-827.66,-14.05,Jun-17-2027,"5,065.00",Nov-2-2026,--,--,0.00,28.635,--,-0.0579
ADBE260918C240,-1,34.70,19.99,0.00,0.00,0.7402,--,33.05,36.25,265.21,1.91,9.3902,--,--,"-1,625.71",-81.32,Sep-18-2026,"-3,625.00",Sep-10-2026,--,--,0.00,24.6361,--,-0.1839
BA260918C245,-1,6.20,4.49,0.00,0.00,0.3779,Bb 0.9,6.05,6.25,234.42,0.96,6.1184,--,--,-175.66,-39.10,Sep-18-2026,-625.00,Oct-27-2026,--,--,0.00,0.00,--,-0.1120
NKE260918C45,-2,0.74,1.08,0.00,0.00,0.2719,<0.2,0.74,0.78,41.70,-0.71,0.7506,--,--,60.67,28.00,Sep-18-2026,-156.00,Sep-28-2026,--,--,0.00,0.00,--,-0.0196
NKE260918P40,-2,1.29,1.08,0.00,0.00,-0.3576,--,1.23,1.3,41.70,-0.71,1.2591,--,--,-43.33,-20.00,Sep-18-2026,-260.00,Sep-28-2026,--,--,0.00,0.00,--,-0.0218
PEP260918C130,4,10.30,14.19,0.00,0.00,0.8580,--,8.95,10.8,139.02,0.42,1.0096,--,--,"-2,096.68",-36.94,Sep-18-2026,"3,580.00",Oct-7-2026,--,--,0.00,9.12,--,-0.0301
PEP260918C150,-2,0.93,2.44,0.00,0.00,0.1630,bb 0.48,0.81,0.95,139.02,0.42,0.8529,--,--,298.67,61.11,Sep-18-2026,-190.00,Oct-7-2026,--,--,0.00,0.00,--,-0.0322
PLTR260918P140,-1,1.72,3.81,0.00,0.00,-0.1109,<0.76 A2R if not target profit diagonal,1.7,1.76,172.01,10.32,1.7865,--,--,205.34,53.84,Sep-18-2026,-176.00,Nov-2-2026,--,--,0.00,0.00,--,-0.0698
T260918P23,8,0.44,1.39,0.00,0.00,-0.3195,--,0.43,0.46,23.79,0.34,0.4499,--,--,-765.35,-69.00,Sep-18-2026,344.00,Oct-20-2026,--,--,0.00,0.00,--,-0.0089
TXN260918C190,-2,90.79,88.19,0.00,0.00,0.9909,NO ROLL,95.15,98.5,286.08,2.76,1.6958,--,--,"-2,061.72",-11.69,Sep-18-2026,"-19,700.00",Oct-19-2026,--,--,0.00,96.10,--,-0.0064
TXN260918C160,2,120.80,40.58,0.00,0.00,0.9893,--,124.9,128.2,286.08,2.76,1.7084,--,--,"16,864.65",207.81,Sep-18-2026,"24,980.00",Oct-19-2026,--,--,0.00,126.10,--,-0.0149
UPS260918C95,-2,10.17,20.39,0.00,0.00,0.9330,--,9.2,10.6,104.50,1.26,0.2241,--,--,"1,958.58",48.02,Sep-18-2026,"-2,120.00",Oct-27-2026,--,--,0.00,9.65,--,-0.0230
VZ260918P35,5,0.04,1.89,0.00,0.00,-0.0144,--,0.01,0.06,47.06,0.15,0.0341,--,--,-923.34,-97.88,Sep-18-2026,20.00,Oct-20-2026,--,--,0.00,0.00,--,-0.0028
WMT260918C120,-1,1.75,2.43,0.00,0.00,0.2655,bb 0.48,1.73,1.79,111.85,-0.20,1.7173,--,--,64.34,26.44,Sep-18-2026,-179.00,Aug-20-2026,--,--,0.00,0.00,--,-0.0438
CMG260918P27.5,5,0.14,2.69,0.00,0.00,-0.0689,--,0.1,0.16,32.79,-2.73,0.1304,--,--,"-1,293.34",-96.28,Sep-18-2026,50.00,Oct-27-2026,--,--,0.00,0.00,--,-0.0065
TXN260918C310,-2,9.19,6.47,0.00,0.00,0.3464,< 1.3,8.3,9.85,286.08,2.76,9.3301,--,--,-675.36,-52.17,Sep-18-2026,"-1,970.00",Oct-19-2026,--,--,0.00,0.00,--,-0.1925
SLV270617C40,1,18.15,31.44,0.00,0.00,0.8782,--,19.8,20.1,57.50,2.95,2.5246,--,--,"-1,163.67",-37.02,Jun-17-2027,"1,980.00",--,--,--,0.00,17.6545,--,-0.0045
SLV260918C60,-3,2.50,1.54,0.00,0.00,0.4336,bb 0.27,2.38,2.48,57.50,2.95,2.5266,--,--,-282.99,-61.39,Sep-18-2026,-744.00,--,--,--,0.00,0.00,--,-0.0401
AVGO260821C360,-1,69.00,52.44,0.00,0.00,0.9627,--,67.5,69.9,427.76,1.71,1.2607,--,--,"-1,745.77",-33.29,Aug-21-2026,"-6,990.00",Sep-2-2026,--,--,0.00,65.697,--,-0.1075
BA260821C230,-1,8.35,5.01,0.00,0.00,0.6461,<1.20,7.95,8.65,234.42,0.96,3.9875,--,--,-363.68,-72.55,Aug-21-2026,-865.00,Oct-27-2026,--,--,0.00,4.40,--,-0.1915
GOOGL270617P320,1,25.00,29.6,0.00,0.00,-0.2884,--,23.35,25.85,354.30,-0.96,24.7596,--,--,-624.66,-21.11,Jun-17-2027,"2,335.00",Oct-27-2026,--,--,0.00,0.00,--,-0.0637
SPY270319C500,2,285.96,160.41,0.00,0.00,0.9687,protector,284.24,287.49,773.26,0.61,13.5561,--,--,"24,766.65",77.19,Mar-19-2027,"56,848.00",--,--,--,0.00,272.95,--,0.0000
IBIT260918C40,-3,0.63,0.59,0.00,0.00,0.2649,<0.12,0.62,0.64,36.80,0.85,0.6275,--,--,-13.99,-7.86,Sep-18-2026,-192.00,--,--,--,0.00,0.00,--,-0.0161
NFLX260821C77,-1,0.85,0.8,0.00,0.00,0.3028,< 0.16,0.84,0.87,74.14,0.61,0.8746,--,--,-6.66,-8.29,Aug-21-2026,-87.00,Oct-19-2026,--,--,0.00,0.00,--,-0.0596
NFLX270115C70,2,10.65,26.43,0.00,0.00,0.6701,--,10.25,10.75,74.14,0.61,6.2973,--,--,"-3,236.33",-61.23,Jan-15-2027,"2,050.00",Oct-19-2026,--,--,0.00,4.185,--,-0.0203
NFLX260821C73,-1,2.51,1.09,0.00,0.00,0.6247,<0.2,2.47,2.56,74.14,0.61,1.3532,--,--,-146.66,-134.14,Aug-21-2026,-256.00,Oct-19-2026,--,--,0.00,1.185,--,-0.0628
SLV270115C80,1,2.16,16.91,0.00,0.00,0.2286,--,2.09,2.19,57.50,2.95,2.1909,--,--,"-1,481.67",-87.64,Jan-15-2027,209.00,--,--,--,0.00,0.00,--,-0.0180
SMCI260821C31,-3,2.65,1.98,0.00,0.00,0.5563,<0.3 a2r,2.63,2.77,31.13,5.96,2.5629,--,--,-236.01,-39.67,Aug-21-2026,-831.00,Aug-11-2026,--,--,0.00,0.14,--,-0.0937
HPQ260821C20,-10,9.97,9.19,0.00,0.00,0.9870,--,9.85,10.15,30.05,6.64,0.0239,--,--,-956.92,-10.41,Aug-21-2026,"-10,150.00",Aug-25-2026,--,--,0.00,10.00,--,-0.0050
LEN260821C95,-1,0.46,1.85,0.00,0.00,0.1713,<0.37,0.4,0.7,88.18,3.96,0.5593,--,--,115.34,62.23,Aug-21-2026,-70.00,Sep-16-2026,--,--,0.00,0.00,--,-0.0579
ARM261120C135,-2,145.10,275.32,0.00,0.00,0.9692,--,149.75,153.3,282.57,-1.43,4.1218,--,--,"24,403.52",44.31,Nov-20-2026,"-30,660.00",Nov-3-2026,--,--,0.00,147.525,--,-0.0267
MCD260918C295,-1,1.60,3.94,0.00,0.00,0.1661,bb 0.80,1.62,1.75,274.48,-0.64,1.6606,--,--,219.34,55.62,Sep-18-2026,-175.00,Nov-3-2026,--,--,0.00,0.00,--,-0.0591
BA270617C150,1,92.60,86.56,0.00,0.00,0.9359,--,91.7,95.8,234.42,0.96,9.789,--,--,514.34,5.94,Jun-17-2027,"9,170.00",Oct-27-2026,--,--,0.00,84.40,--,-0.0071
TXN260918C330,2,4.50,8.68,0.00,0.00,0.2133,--,4.05,5.35,286.08,2.76,4.905,--,--,-925.35,-53.33,Sep-18-2026,810.00,Oct-19-2026,--,--,0.00,0.00,--,-0.1517
AMZN261016C235,-1,44.70,43.62,0.00,0.00,0.8794,--,42.65,45.25,274.48,0.82,4.4961,--,--,-162.75,-3.74,Oct-16-2026,"-4,525.00",Oct-28-2026,--,--,0.00,39.3043,--,-0.0526
SBUX261016C95,-3,12.65,12.64,0.00,0.00,0.8313,--,11.1,14.15,105.58,0.40,1.6375,--,--,-452.07,-11.92,Oct-16-2026,"-4,245.00",Oct-27-2026,--,--,0.00,10.60,--,-0.0220
T261016C24,-8,1.03,0.73,0.00,0.00,0.5129,<0.06,1,1.1,23.79,0.34,1.0263,--,--,-293.31,-50.00,Oct-16-2026,-880.00,Oct-20-2026,--,--,0.00,0.00,--,-0.0079
BA270319C160,1,83.72,55.97,0.00,0.00,0.9416,--,79.4,83.45,234.42,0.96,7.8009,--,--,"2,343.33",41.87,Mar-19-2027,"7,940.00",Oct-27-2026,--,--,0.00,74.40,--,-0.0097
NKE270319C45,2,4.10,14.92,0.00,0.00,0.4923,--,3.9,4.45,41.70,-0.71,4.1994,--,--,"-2,203.35",-73.86,Mar-19-2027,780.00,Sep-28-2026,--,--,0.00,0.00,--,-0.0115
NKE270319P35,2,2.39,2.41,0.00,0.00,-0.2424,--,2.11,2.53,41.70,-0.71,2.3013,--,--,-59.35,-12.33,Mar-19-2027,422.00,Sep-28-2026,--,--,0.00,0.00,--,-0.0093
SMCI270319C13,3,17.60,12.01,0.00,0.00,0.9550,--,18.15,19.9,31.13,5.96,1.6043,--,--,"1,842.98",51.16,Mar-19-2027,"5,445.00",Aug-11-2026,--,--,0.00,18.14,--,-0.0039
PEP270617C130,2,17.70,24.21,0.00,0.00,0.6731,--,16.4,19.15,139.02,0.42,8.0395,--,--,"-1,561.35",-32.26,Jun-17-2027,"3,280.00",Oct-7-2026,--,--,0.00,9.12,--,-0.0159
ADBE270319P320,1,75.89,93.75,0.00,0.00,-0.6135,--,68.05,75.15,265.21,1.91,17.677,--,--,"-2,569.67",-27.42,Mar-19-2027,"6,805.00",Sep-10-2026,--,--,0.00,55.4518,--,-0.0854
MCD270319P250,1,9.18,9.71,0.00,0.00,-0.2684,--,8.4,9.8,274.48,-0.64,9.0544,--,--,-130.67,-13.47,Mar-19-2027,840.00,Nov-3-2026,--,--,0.00,0.00,--,-0.0367
AMZN270319P200,1,4.30,9.46,0.00,0.00,-0.1012,--,4.3,4.55,274.48,0.82,4.4558,--,--,-515.67,-54.53,Mar-19-2027,430.00,Oct-28-2026,--,--,0.00,0.00,--,-0.0324
SMCI260918C32,-4,3.50,5.06,0.00,0.00,0.5368,<0.3 a2r,3.45,3.6,31.13,5.96,3.5616,--,--,585.30,28.89,Sep-18-2026,"-1,440.00",Aug-11-2026,--,--,0.00,0.00,--,-0.0455
IBIT261016P44,-5,7.42,7.47,0.00,0.00,-0.8622,--,7.25,7.6,36.80,0.85,0.2296,--,--,-63.41,-1.70,Oct-16-2026,"-3,800.00",--,--,--,0.00,7.1793,--,-0.0106
SPY270331C670,2,129.41,92.41,0.00,0.00,0.8444,protector,128.24,131.59,773.26,0.61,27.4221,--,--,"7,166.66",38.77,Mar-31-2027,"25,648.00",--,--,--,0.00,102.95,--,-0.0554
IWM270331C260,1,50.17,38.28,0.00,0.00,0.8223,--,50.04,53.57,301.56,1.11,10.8328,--,--,"1,176.33",30.73,Mar-31-2027,"5,004.00",--,--,--,0.00,41.72,--,-0.0269
V260821C340,-1,23.48,21.27,0.00,0.00,0.9434,--,22.05,23.35,362.50,-2.15,0.3997,--,--,-207.71,-9.77,Aug-21-2026,"-2,335.00",Oct-26-2026,--,--,0.00,22.74,--,-0.0745
IWM270416C240,1,66.50,51.88,0.00,0.00,0.8821,--,67.92,71.33,301.56,1.11,8.1734,--,--,"1,604.33",30.92,Apr-16-2027,"6,792.00",--,--,--,0.00,61.72,--,-0.0177
PEP260821C140,-4,2.12,3.06,0.00,0.00,0.4652,<0.6 a2r,1.7,2.03,139.02,0.42,1.9543,--,--,413.32,33.73,Aug-21-2026,-812.00,Oct-7-2026,--,--,0.00,0.00,--,-0.0811
T260821C23,-10,1.02,--,0.00,0.00,0.7565,<0.06,0.93,1.1,23.79,0.34,0.1916,--,--,--,--,Aug-21-2026,"-1,100.00",Oct-20-2026,--,--,0.00,0.795,--,-0.0136
SPY260918C698,-2,46.94,61.42,0.00,0.00,0.9343,--,77.83,81.08,773.26,0.61,4.6822,--,--,"-3,931.59",-32.01,Sep-18-2026,"-16,216.00",--,--,--,0.00,74.95,--,-0.0745
VZ260821C43,-5,4.05,1.86,0.00,0.00,0.9485,<0.12,4,5.15,47.06,0.15,0.0556,--,--,"-1,643.34",-176.39,Aug-21-2026,"-2,575.00",Oct-20-2026,--,--,0.00,4.01,--,-0.0088
STZ270617C100,1,37.30,35.5,0.00,0.00,0.8879,--,39.5,42.2,135.76,2.44,4.833,--,--,400.34,11.27,Jun-17-2027,"3,950.00",Oct-5-2026,--,--,0.00,35.705,--,-0.0089
UPS270617P80,2,2.83,3.76,0.00,0.00,-0.1736,--,3,3.5,104.50,1.26,3.2746,--,--,-151.35,-20.15,Jun-17-2027,600.00,Oct-27-2026,--,--,0.00,0.00,--,-0.0121
SPY260930C698,-1,65.61,65.6,0.00,0.00,0.9160,--,78.53,81.8,773.26,0.61,5.4316,--,--,"-1,619.80",-24.70,Sep-30-2026,"-8,180.00",--,--,--,0.00,74.95,--,-0.0807
SPY260930C706,-1,65.67,65.66,0.00,0.00,0.9011,--,70.95,74.22,773.26,0.61,5.8844,--,--,-855.80,-13.04,Sep-30-2026,"-7,422.00",--,--,--,0.00,66.975,--,-0.0889
CMG260828C37,-5,0.15,2.03,0.00,0.00,0.1040,<0.18,0.11,0.16,32.79,-2.73,0.1366,--,--,936.65,92.13,Aug-28-2026,-80.00,Oct-27-2026,--,--,0.00,0.00,--,-0.0123
GOOGL260828P335,-1,2.70,20.24,0.00,0.00,-0.1910,< 0.5 a2r,2.5,2.96,354.30,-0.96,2.6758,--,--,"1,728.29",85.37,Aug-28-2026,-296.00,Oct-27-2026,--,--,0.00,0.00,--,-0.1621
GLD260828C400,-1,8.60,4.34,0.00,0.00,0.5117,Bb 0.87 then BBR>90,8.35,8.7,398.47,2.26,8.9144,--,--,-435.66,-100.31,Aug-28-2026,-870.00,--,--,--,0.00,0.00,--,-0.2138
IWM260918C283,-1,17.29,17.74,0.00,0.00,0.8402,<0.5,20.63,22.81,301.56,1.11,2.7797,--,--,-506.70,-28.56,Sep-18-2026,"-2,281.00",--,--,--,0.00,18.72,--,-0.0599
LEN260904P94,-1,10.02,10.01,0.00,0.00,-0.7142,--,6.7,7.6,88.18,3.96,1.3094,--,--,241.31,24.09,Sep-04-2026,-760.00,Sep-16-2026,--,--,0.00,5.89,--,-0.0564
UPS,200,104.50,90.76,1.30,1.26,--,--,104.5,104.7,--,--,--,260.00,1.25,"2,748.56",15.14,--,"20,900.00",Oct-27-2026,Aug-17-2026,6.36%,21.55,--,30.00,--
VZ,500,47.06,43.14,0.07,0.15,--,sell WCC as it was bought,46.99,47.05,--,--,--,35.00,0.14,"1,960.00",9.08,--,"23,530.00",Oct-20-2026,Jul-10-2026,6.02%,12.24,--,30.00,--
AGNC,700,10.84,10.79,0.23,2.17,--,--,10.85,10.9,--,--,--,161.00,2.16,37.27,0.49,--,"7,588.00",Oct-19-2026,Jul-31-2026,13.57%,5.56,--,100.00,--
AMZN,100,274.48,241.47,2.22,0.82,--,--,274.29,274.4,--,--,--,222.00,0.81,"3,301.00",13.67,--,"27,448.00",Oct-28-2026,--,0.00%,21.90,--,100.00,--
XOM,200,153.04,110.25,-1.80,-1.16,--,--,153.1,153.13,--,--,--,-360.00,-1.17,"8,558.65",38.81,--,"30,608.00",Oct-29-2026,Aug-17-2026,2.66%,19.97,--,100.00,--
Cash (FDRXX),"6,598.27",1.00,--,0.00,0.00,--,--,--,--,--,--,--,--,--,--,--,--,"6,598.27",--,Nov-3-2025,3.40%,0.00,--,100.00,--
IBM,100,237.28,210.49,3.85,1.65,--,--,237,237.2,--,--,--,385.00,1.64,"2,679.00",12.72,--,"23,728.00",Oct-21-2026,Aug-10-2026,2.90%,18.75,--,100.00,--
WMT261218C100,3,15.90,19.94,0.00,0.00,0.7821,--,14.9,16.85,111.85,-0.20,3.834,--,--,"-1,510.99",-25.27,Dec-18-2026,"4,470.00",Aug-20-2026,--,--,0.00,11.765,--,-0.0202
MSFT270115C440,1,82.53,84.53,0.00,0.00,0.7782,--,81.45,83.55,499.99,0.03,22.0526,--,--,-307.67,-3.64,Jan-15-2027,"8,145.00",Oct-27-2026,--,--,0.00,59.8999,--,-0.0904
MSFT270115P360,1,3.76,23.33,0.00,0.00,-0.0649,--,3.6,3.85,499.99,0.03,3.7342,--,--,"-1,972.67",-84.57,Jan-15-2027,360.00,Oct-27-2026,--,--,0.00,0.00,--,-0.0473
ORCL270115C120,1,38.96,55.03,0.00,0.00,0.7650,--,39.3,41,147.02,2.47,13.6208,--,--,"-1,572.67",-28.59,Jan-15-2027,"3,930.00",Sep-7-2026,--,--,0.00,26.67,--,-0.0582
AMZN270617P200,1,6.80,13.29,0.00,0.00,-0.1230,--,6.6,7,274.48,0.82,6.832,--,--,-668.66,-50.33,Jun-17-2027,660.00,Oct-28-2026,--,--,0.00,0.00,--,-0.0312
MSFT260918P450,-1,3.90,6.99,0.00,0.00,-0.1401,--,3.75,3.9,499.99,0.03,3.8232,--,--,309.32,44.23,Sep-18-2026,-390.00,Oct-27-2026,--,--,0.00,0.00,--,-0.1370
AMZN260918C290,-1,5.75,5.59,0.00,0.00,0.3299,Bb 1.1,5.65,5.9,274.48,0.82,5.7464,--,--,-30.68,-5.49,Sep-18-2026,-590.00,Oct-28-2026,--,--,0.00,0.00,--,-0.1209
ORCL260918C150,-1,13.05,13.76,0.00,0.00,0.5217,--,13.05,13.3,147.02,2.47,13.1061,--,--,46.30,3.36,Sep-18-2026,"-1,330.00",Sep-7-2026,--,--,0.00,0.00,--,-0.1686
XOM270617P100,2,1.42,2.22,0.00,0.00,-0.0641,--,1.18,1.65,153.04,-1.16,1.4519,--,--,-207.33,-46.77,Jun-17-2027,236.00,Oct-29-2026,--,--,0.00,0.00,--,-0.0091
MSFT260821C400,-1,101.15,18.96,0.00,0.00,0.9934,<2.0,99.2,101.4,499.99,0.03,0.5081,--,--,"-8,243.70",-434.73,Aug-21-2026,"-10,140.00",Oct-27-2026,--,--,0.00,99.8999,--,-0.0149
TLT260918C85,-6,0.35,0.4,0.00,0.00,0.2160,<0.08,0.33,0.34,82.76,0.29,0.325,--,--,38.02,15.70,Sep-18-2026,-204.00,--,--,--,0.00,0.00,--,-0.0097
NFLX260918C74,-1,3.60,3.25,0.00,0.00,0.5516,--,3.5,3.65,74.14,0.61,3.4291,--,--,-39.66,-12.20,Sep-18-2026,-365.00,Oct-19-2026,--,--,0.00,0.185,--,-0.0389
SLV260821C60,-2,1.00,1.22,0.00,0.00,0.3408,<0.24 a2r,0.96,1.01,57.50,2.95,1.0583,--,--,42.65,17.43,Aug-21-2026,-202.00,--,--,--,0.00,0.00,--,-0.0651
AGNC260918C11,-7,0.20,0.29,0.00,0.00,0.4063,bb 0.01,0.18,0.2,10.84,2.17,0.178,--,--,65.36,31.82,Sep-18-2026,-140.00,Oct-19-2026,--,--,0.00,0.00,--,-0.0035
IBM270617P190,1,16.00,20.61,0.00,0.00,-0.2268,--,15.05,17.5,237.28,1.65,16.1624,--,--,-555.66,-26.97,Jun-17-2027,"1,505.00",Oct-21-2026,--,--,0.00,0.00,--,-0.0459
TLT270219C80,6,4.20,8.44,0.00,0.00,0.6749,--,4.25,4.35,82.76,0.29,1.6156,--,--,"-2,512.04",-49.63,Feb-19-2027,"2,550.00",--,--,--,0.00,2.68,--,-0.0061
XOM261016C120,-2,33.28,29.49,0.00,0.00,0.9671,--,31,34.45,153.04,-1.16,0.2976,--,--,-991.46,-16.81,Oct-16-2026,"-6,890.00",Oct-29-2026,--,--,0.00,32.85,--,-0.0113
TLT270617C80,6,4.85,6.01,0.00,0.00,0.6466,--,4.9,5,82.76,0.29,2.2432,--,--,-663.98,-18.43,Jun-17-2027,"2,940.00",--,--,--,0.00,2.68,--,-0.0047
NFLX270319C80,1,7.85,23.49,0.00,0.00,0.5064,--,7.7,8.1,74.14,0.61,7.9213,--,--,"-1,578.67",-67.22,Mar-19-2027,770.00,Oct-19-2026,--,--,0.00,0.00,--,-0.0202
SLV270319C50,2,11.79,19.95,0.00,0.00,0.7416,--,11.8,12,57.50,2.95,4.425,--,--,"-1,630.34",-40.86,Mar-19-2027,"2,360.00",--,--,--,0.00,7.6545,--,-0.0121
WMT260821C120,-3,0.78,1.73,0.00,0.00,0.1781,<0.35,0.73,0.79,111.85,-0.20,0.7483,--,--,282.99,54.42,Aug-21-2026,-237.00,Aug-20-2026,--,--,0.00,0.00,--,-0.0766
IBM260918C245,-1,8.53,4.59,0.00,0.00,0.4178,--,8.45,8.65,237.28,1.65,8.4238,--,--,-405.66,-88.32,Sep-18-2026,-865.00,Oct-21-2026,--,--,0.00,0.00,--,-0.1386
BROKERAGELINK,"213,588.96",1.00,1,0.00,0.00,--,--,--,--,--,--,--,--,--,--,--,--,"213,588.96",--,--,--,0.00,--,--,--
NON40OJJ4,421.393,70.096,62.59,0.5199,0.00,--,--,--,--,--,--,--,219.08,0.75,"3,162.30",11.99,--,"29,537.97",--,--,--,0.00,--,--,--
